supplier_name,region,country,function,cost,rating,average_delivery_time,number_of_escalations,year,resources
"Innova, S. de R.L.",Europe,Mexico,Application analyst,725,93,207,86,2003,2900
Inside Holdings Inc.,Europe,Canada,software developer,320,78,282,179,2007,7700
Instrumentarium Corp.,Europe,Finland,Application developer,580,82,228,155,2008,8800
Instrumentation Laboratory S.p.A.,Europe,Italy,Web developer,280,65,232,153,2014,5800
Intasys Corp.,Europe,Canada,Business intelligence analyst,620,94,266,69,2015,6600
Internacional de Ceramica S.A. de C.V.,Europe,Mexico,Systems analyst,310,69,269,88,2017,5800
International Absorbents Inc.,Europe,Canada,Java developer,480,67,200,76,1996,2500
International Briquettes Holding,Europe,Cayman Islands,Software architect,290,83,224,105,2017,7400
International Financial Group Inc.,Europe,Cayman Islands,.Net developer,440,90,200,54,1996,5500
International Freegold Mineral Development,Europe,Canada,IT analyst,580,63,208,115,2011,3800
International Hi Tech Industries Inc.,Europe,Canada,Technical writer,225,71,213,65,2001,7200
International Power plc,Europe,United Kingdom,IT analyst,210,81,256,133,2019,7300
International Thunderbird Gaming Corp.,Europe,Canada,Technical writer,795,65,271,190,1994,4900
International Tower Hill Mines Ltd.,Europe,Canada,Java developer,245,87,247,199,2007,6000
International Uranium Corp.,Europe,Canada,Software engineering manager,585,88,240,138,2010,5700
International Utility Structures Inc.,Europe,Canada,Market research,375,68,292,168,1998,1000
Internet Gold - Golden Lines Ltd.,Europe,Israel,Network engineer,535,74,253,105,2014,1500
Internet Initiative Japan Inc.,Europe,Japan,Program analyst,80,64,242,108,2000,2100
Intershop Communications Aktiengesellshaft,Europe,Germany,Software architect,335,82,269,74,1993,6800
Intertape Polymer Group Inc.,Europe,Canada,Finance and accounting,720,85,278,123,2000,3200
Intertek Testing Services Ltd.,Europe,United Kingdom,IT coordinator,305,71,255,187,2014,1300
Intier Automotive Inc.,Europe,Canada,Web developer,585,85,280,129,1999,8900
Intravelnet.com Inc.,Europe,Canada,Computer programmer,235,88,213,65,2020,3400
Intrawest Corp.,Europe,Canada,Technical writer,75,77,216,77,1999,6600
Investors Group Inc.,Europe,Canada,Java developer,685,60,294,87,2019,7300
Iona Technologies Ltd.,Europe,Ireland,Software quality assurance,715,68,232,129,2017,2900
Ipsco Inc.,Europe,Canada,Application analyst,320,70,240,83,2014,6800
"IRSA Inversiones y Representacions, S.A.",Europe,Argentina,IT coordinator,775,81,297,88,2000,4400
Ispat International N.V.,Europe,Netherlands,UX designer,215,84,281,107,2004,7600
Itemus Inc.,Europe,Canada,System administrator,105,92,279,92,2009,8700
Ito-Yokado Co. Ltd.,Europe,Japan,Data scientist,745,87,214,69,1998,2100
Ivanhoe Energy Inc.,Europe,Canada,Finance and accounting,725,74,251,115,1996,2000
IWI Holding Ltd.,Europe,British Virgin Islands,System administrator,635,87,235,126,2019,8000
iXOS Software Aktiengesellschaft,Europe,Germany,Program analyst,255,94,290,95,2001,3100
Jacada Ltd.,Europe,Israel,Java developer,430,85,283,148,2016,4300
James Hardie Industries N.V.,Europe,Netherlands,Market research,265,82,258,82,1994,2900
Jazztel plc,Europe,United Kingdom,Applications Development & Maintenance,660,69,270,136,1994,7600
Jefferson Smurfit plc,Europe,Ireland,Computer network architect,155,75,286,75,2010,4200
Jewett Cameron Trading Co.,Europe,Canada,Network engineer,725,87,262,169,2009,4500
Jilin Chemical Industrial Co. Ltd.,Europe,China,Accounting and finance,760,72,227,61,1996,6600
Jinpan International Ltd.,Europe,British Virgin Islands,Business intelligence analyst,190,61,258,82,1997,4700
Jupiters Ltd.,Europe,Australia,IT & Infrastructure,730,71,224,52,2003,4100
Kafus Industries Ltd.,Europe,Canada,Software quality assurance,630,60,287,74,2008,2200
Kappa Beheer B.V.,Europe,Netherlands,Program analyst,210,63,286,148,2013,2500
Kenrich Mining Corp.,Europe,Canada,Computer network architect,470,84,203,155,2006,6400
Keywest Energy Corp.,Europe,Canada,Network engineer,305,90,298,57,2016,5500
"Kingsway Financial Services, Inc.",Europe,Canada,Finance and accounting,195,89,267,134,2010,5300
Kinross Gold Corp.,Europe,Canada,Application developer,315,63,223,96,2000,3700
Klinair Environmental Technologies Ltd.,Europe,British Virgin Islands,Accounting and finance,595,87,222,119,2018,6900
KLM Royal Dutch Airlines,Europe,Netherlands,Technical writer,710,60,258,57,2017,8900
Knightsbridge Tankers Ltd.,Europe,Bermuda,Product manager,570,83,276,93,2003,7700
Komatsu Ltd.,Europe,Japan,Software quality assurance,690,86,225,104,1990,5300
Koninklijke KPN N.V.,Europe,Netherlands,IT analyst,420,92,238,123,2010,6900
Kookmin Bank,Europe,Korea,IT & Infrastructure,245,83,205,62,2015,6100
Koor Industries Ltd.,Europe,Israel,Software engineering manager,710,61,250,111,1998,1000
Korea Electric Power Corp.,Europe,Korea,Computer programmer,780,87,209,61,2001,1800
Korea Telecom Corp.,Europe,Korea,System engineer,505,69,206,92,2020,4900
Korea Thrunet Ltd.,Europe,Korea,UX designer,355,92,217,183,2005,8500
Kowloon-Canton Railway Corp.,Europe,Hong Kong,Data analyst,115,84,208,153,2018,1400
KPNQwest N.V.,Europe,Netherlands,Computer network architect,125,60,248,153,1998,5600
Kubota Corp.,Europe,Japan,Software architect,585,61,292,149,1990,3600
Kyocera Corp.,Europe,Japan,Technical writer,420,77,241,196,1996,5400
Lafarge,Europe,France,Data scientist,610,73,237,108,1991,2800
Laidlaw Inc.,Europe,Canada,System administrator,530,67,281,195,2018,2900
Lanoptics Ltd.,Europe,Israel,IT coordinator,300,68,205,157,2016,7200
Las Vegas from Home.com Entertainment Inc.,Europe,Canada,IT & Infrastructure,505,76,273,110,1991,2400
Lastminute.com plc,Europe,United Kingdom,Program analyst,760,81,266,63,2003,8100
Latin American Export Bank,Europe,Panama,Software engineering manager,715,85,260,54,2002,4600
Leader Mining International Inc.,Europe,Canada,Computer programmer,630,67,210,62,2004,6500
"Leading Brands, Inc.",Europe,Canada,Computer network architect,160,69,275,78,2021,8700
Legrand,Europe,France,.Net developer,585,78,270,99,2017,4600
Leica Geosystems Finance plc,Europe,United Kingdom,IT & Infrastructure,85,87,224,50,1994,5200
Leitch Technology Corp.,Europe,Canada,Computer network architect,675,86,213,157,2007,6000
Levon Resources Ltd.,Europe,Canada,Finance and accounting,195,70,239,183,2021,4000
Lihir Gold Ltd.,Europe,Papua New Guinea,Finance and accounting,275,79,265,192,2015,4000
Linea Aerea Nacional Chile S.A.- LanChile,Europe,Chile,Mobile developer,645,87,290,190,2019,8900
"LinuxWizardry Systems, Inc.",Europe,Canada,software developer,150,93,200,194,2010,3900
Lion Bioscience Aktiengesellschaft,Europe,Germany,Software architect,255,81,272,164,2013,7200
Lions Gate Entertainment Corp.,Europe,Canada,Data scientist,95,76,263,118,1991,2200
Liquidation World Inc.,Europe,Canada,Market research,410,85,295,68,2007,8400
LJ International Ltd.,Europe,British Virgin Islands,Technical writer,205,94,222,165,2021,6900
Lloyds TSB Group plc,Europe,United Kingdom,Data scientist,325,86,228,189,1993,1600
LML Payment Systems Inc.,Europe,Canada,System administrator,635,76,245,107,1998,1700
Localiza Rent-a-Car S.A.,Europe,Brazil,software developer,180,67,217,179,1996,3300
Loewen Group Inc.,Europe,Canada,Business intelligence analyst,175,70,220,170,2019,4600
LogicalOptions International Inc.,Europe,Canada,Full stack developer,775,84,244,190,2018,3100
Logitech International S.A.,Europe,Switzerland,Product manager,155,87,276,90,1991,6500
London Electricity Group plc,Europe,United Kingdom,Computer network architect,695,82,203,179,2002,7000
London Pacific Group Ltd.,Europe,United Kingdom,Finance and accounting,590,85,244,71,2014,7800
Lorus Therapeutics Inc.,Europe,Canada,Mobile developer,505,93,224,57,2009,4700
Lund Ventures Ltd.,Europe,Canada,Computer programmer,330,84,278,193,1997,7500
Luxfer Holdings plc,Europe,United Kingdom,Computer network architect,350,77,264,117,2017,2700
Luxottica Group S.p.A.,Europe,Italy,IT & Infrastructure,230,74,223,144,2000,8500
LVMH Moet-Hennessy Louis Vuitton,Europe,France,Systems analyst,155,84,208,182,1991,3000
Macronix International Co.,Europe,Taiwan,Software quality assurance,165,89,205,145,2019,5300
"Mad Catz Interactive, Inc.",Europe,Canada,IT & Infrastructure,100,61,281,147,1991,7300
Madeco S.A.,Europe,Chile,Software quality assurance,325,69,254,123,2014,3000
Madge Networks N.V.,Europe,Netherlands,Market research,785,63,230,66,1995,3800
Madison Enterprises Corp.,Europe,Canada,System engineer,70,73,253,89,2008,1500
Magal Security Systems Ltd.,Europe,Israel,UX designer,435,92,274,66,2003,7500
Magic Software Enterprises Ltd.,Europe,Israel,Product manager,645,82,297,179,1999,7900
Magna International Inc.,Europe,Canada,System administrator,455,86,230,57,2000,6200
Magyar Tavkozlesi RT. - MATAV,Europe,Hungary,Systems analyst,180,76,259,96,1997,7100
Mahanagar Telephone Nigam Ltd.,Europe,India,UX designer,375,73,230,148,2020,8900
Makita Corp.,Europe,Japan,Computer network architect,305,81,274,157,2019,2000
Manhattan Minerals Corp.,Europe,Canada,Market research,280,73,239,120,2018,8300
Manulife Financial Corp.,Europe,Canada,Program analyst,385,92,291,134,2017,7600
Marconi plc,Europe,United Kingdom,Data scientist,525,81,277,126,1998,9000
Marnetics Broadband Technologies Ltd.,Europe,Israel,Application analyst,540,72,227,141,2021,2900
Marsulex Inc.,Europe,Canada,Applications Development & Maintenance,430,76,260,54,2011,5200
Masisa S.A.,Europe,Chile,Program analyst,550,61,276,179,2011,6800
Masonite International Corp.,Europe,Canada,Java developer,320,80,216,147,2007,5200
Matav Cable Systems Media Ltd.,Europe,Israel,Product manager,225,62,201,133,2015,2100
Matsushita Electric Industrial Co.,Europe,Japan,IT coordinator,405,86,216,179,2006,5600
"Maxcom Telecomunicaciones, S.A. de C.V.",Europe,Mexico,software developer,540,79,274,110,2013,2900
Mayne Nickless Ltd.,Europe,Australia,software developer,720,71,289,183,1990,2900
MC Shipping Inc,Europe,Liberia,IT & Infrastructure,620,84,257,102,2001,7900
MDC  Co.,Europe,Canada,Data analyst,245,80,214,99,1991,6400
MDS Inc.,Europe,Canada,.Net developer,665,75,263,149,1995,5100
MDSI Mobile Data Solutions Inc.,Europe,Canada,IT analyst,555,76,297,97,2002,4000
Med Emerg International Ltd.,Europe,Canada,Software quality assurance,480,77,289,101,2015,2300
Med Net International Ltd.,Europe,Bermuda,IT analyst,585,67,271,175,1997,1300
Mentergy Ltd.,Europe,Israel,Business intelligence analyst,510,77,289,97,2021,2000
MEPC plc,Europe,United Kingdom,Mobile developer,100,61,255,150,2017,8500
Mer Telemanagement Solutions Ltd.,Europe,Israel,Accounting and finance,510,71,233,90,2001,2500
Merant plc,Europe,United Kingdom,IT analyst,480,82,287,186,2004,7300
Mercury Partners & Co. Inc.,Europe,Canada,Computer programmer,240,64,226,143,1990,2400
Mercury Scheduling Systems Inc.,Europe,Canada,Network engineer,755,94,219,141,2012,1700
Meridian Gold Inc.,Europe,Canada,Network engineer,305,68,240,193,2005,6000
Messer Griesheim Holding AG,Europe,Germany,Java developer,635,73,291,192,2015,8200
Metal Storm Ltd.,Europe,Australia,IT & Infrastructure,485,63,209,159,2003,2200
Metalink Ltd.,Europe,Israel,System administrator,500,87,237,139,2019,7300
Metallica Resources Inc.,Europe,Canada,Software architect,250,66,241,110,1998,2200
Methanex Corp.,Europe,Canada,Software quality assurance,585,91,285,128,1996,3200
Metro International S.A.,Europe,Luxembourg,Mobile developer,435,67,206,120,2007,7800
MetroGas S.A.,Europe,Argentina,Program analyst,220,62,254,94,2013,8200
Metso Oy,Europe,Finland,Data analyst,225,73,226,154,2016,7300
MFC Bancorp Ltd.,Europe,Canada,Applications Development & Maintenance,505,80,242,145,2009,7200
Microcell Telecommunications Inc.,Europe,Canada,Data scientist,705,79,200,150,2016,3300
"Micrologix Biotech, Inc.",Europe,Canada,Mobile developer,225,72,265,127,1997,8700
Micromem Technologies Inc.,Europe,Canada,software developer,205,93,235,179,2009,2200
Midland Bank plc,Europe,United Kingdom,Full stack developer,245,61,205,63,2001,7600
MIH Ltd.,Europe,British Virgin Islands,.Net developer,100,61,293,92,1991,3800
Millar Western Forest Products Ltd.,Europe,Canada,IT coordinator,440,77,215,52,2017,1300
"Millenium Seacarriers, Inc.",Europe,Cayman Islands,Systems analyst,765,93,221,85,2002,7600
Millicom International Cellular S.A.,Europe,Luxembourg,Data scientist,760,60,293,64,2016,5700
Minco Mining and Metals Corp.,Europe,Canada,Finance and accounting,285,78,284,158,2004,2000
Mind C.T.I. Ltd.,Europe,Israel,UX designer,540,67,263,164,2005,6000
Minefinders Corp. Ltd.,Europe,Canada,System engineer,465,66,290,187,2004,6300
Mirae Corp.,Europe,Korea,Technical writer,475,62,294,70,2001,3900
Miramar Mining Co.,Europe,Canada,Software engineering manager,790,86,236,153,2021,5900
Mirtronics Inc.,Europe,Canada,Full stack developer,85,93,225,96,1995,1600
Misty Mountain Gold Ltd.,Europe,Canada,Systems analyst,180,74,299,196,2010,2900
"Mitsubishi Tokyo Financial Group, Inc.",Europe,Japan,Business intelligence analyst,75,83,242,76,2010,2500
Mitsui & Company Ltd.,Europe,Japan,System engineer,115,85,234,60,1990,4300
Mitsui Sumitomo Insurance Co. Ltd.,Europe,Japan,Mobile developer,725,73,236,155,2011,8900
mmO2 plc,Europe,United Kingdom,Application analyst,555,80,236,50,2017,3200
Mobile Telesystems OJSC,Europe,Russia,IT & Infrastructure,110,77,294,140,1991,1000
Modern Times Group MTG AB,Europe,Sweden,System engineer,665,74,227,122,1999,8700
Moore Corp. Ltd.,Europe,Canada,Application developer,440,78,256,148,2002,1800
"Mountain Province Diamonds, Inc.",Europe,Canada,Network engineer,355,81,287,141,2001,4500
M-Systems Flash Disk Pioneers Ltd.,Europe,Israel,Software quality assurance,360,83,202,159,2013,4200
MTR Corp.,Europe,Hong Kong,IT coordinator,625,71,243,88,2009,4900
Multicanal S.A.,Europe,Argentina,Web developer,360,80,253,119,2013,1200
Murrin Murrin Holdings Pty Ltd.,Europe,Australia,Program analyst,375,78,237,102,2003,4000
Nam Tai Electronics Inc.,Europe,British Virgin Islands,System engineer,170,87,200,189,2012,4100
Namibian Minerals Corp.,Europe,Canada,System administrator,420,93,288,87,2010,5200
National Australia Bank Ltd.,Europe,Australia,Market research,765,67,247,137,2017,1500
National Bank of Greece S.A.,Europe,Greece,IT coordinator,75,89,289,90,1995,8100
National Grid Group plc,Europe,United Kingdom,Mobile developer,200,91,218,160,2009,8100
National Westminster plc,Europe,United Kingdom,Java developer,240,73,287,197,2021,5000
NCE Petrofund Ltd.,Europe,Canada,Data scientist,340,68,219,136,2009,7300
NDS Group plc,Europe,United Kingdom,software developer,625,93,291,132,1994,6400
NDT Ventures Ltd.,Europe,Canada,Software architect,675,89,293,100,1990,5500
NEC Corp.,Europe,Japan,Business intelligence analyst,235,67,223,145,1997,4500
Nera ASA,Europe,Norway,Application developer,480,76,265,150,2020,8500
Net Matrix Ltd.,Europe,British Virgin Islands,Applications Development & Maintenance,95,92,221,102,2002,1800
Net Nanny Software International Inc.,Europe,Canada,Java developer,75,66,232,122,2000,1500
Net Sat Servicos Ltda.,Europe,Brazil,.Net developer,325,75,206,176,2002,7200
Netco Energy Inc.,Europe,Canada,Software quality assurance,290,66,291,155,1995,5400
Netease.com Inc.,Europe,Cayman Islands,Business intelligence analyst,190,75,262,139,1990,2800
Netia Holdings S.A.,Europe,Poland,Network engineer,170,89,270,170,2012,8900
Nettron.com Corp.,Europe,Canada,Product manager,145,91,230,175,2000,2900
"New China Homes, Ltd.",Europe,Cayman Islands,System administrator,170,93,219,72,2009,4000
New Millennium Metals Corp.,Europe,Canada,System engineer,545,69,289,113,2000,2700
New Skies Satellites N.V.,Europe,Netherlands,IT coordinator,560,62,256,140,2006,2700
New Tel Ltd.,Europe,Australia,IT analyst,285,74,295,172,2007,4000
New York Broker Deutschland AG,Europe,Germany,Data analyst,795,73,273,188,2019,2500
NewKidCo International Inc.,Europe,Canada,Data scientist,220,85,207,119,1994,6800
News Corporation Ltd.,Europe,Australia,System administrator,70,78,278,51,2000,6500
Nexen Inc.,Europe,Canada,Accounting and finance,280,69,246,71,1994,2900
Nexus Telocation Systems Ltd.,Europe,Israel,Computer programmer,390,64,220,92,2012,7000
Nice Systems Ltd.,Europe,Israel,Full stack developer,70,91,226,60,2017,5100
Nicholas Financial Inc.,Europe,Canada,UX designer,600,90,211,155,2004,4600
Nidec Corp.,Europe,Japan,Accounting and finance,685,72,234,89,2017,4400
Nippon Telegraph and Telephone Corp.,Europe,Japan,Computer programmer,310,90,222,139,2017,4200
Noga Electro-Mechanical Industries (1986) Ltd.,Europe,Israel,Mobile developer,665,79,250,179,2005,7900
Nokia Corp.,Europe,Finland,Software engineering manager,230,66,265,56,2015,7900
"Nomura Holdings, Inc.",Europe,Japan,Application analyst,530,79,251,103,2001,7700
Norampac Inc.,Europe,Canada,Computer programmer,390,78,214,164,2015,1300
Noranda Inc.,Europe,Canada,Data analyst,510,64,272,60,2015,7800
Nord Pacific Ltd.,Europe,Canada,Business intelligence analyst,695,64,243,135,2021,3100
Nordic American Tanker Shipping Ltd.,Europe,Bermuda,IT & Infrastructure,755,89,298,134,2013,5400
Normandy Yandal Operations Ltd.,Europe,Australia,Network engineer,80,70,257,194,2017,4600
Norsat International Inc.,Europe,Canada,Product manager,270,70,242,130,2016,7800
Norsk Hydro A/S,Europe,Norway,Web developer,530,85,206,82,2006,6500
Nortel Inversora S.A.,Europe,Argentina,Software engineering manager,570,84,221,102,2011,5300
Nortel Networks Corp.,Europe,Canada,System administrator,80,63,210,67,2019,8900
North American Palladium Ltd.,Europe,Canada,Systems analyst,645,75,237,196,2017,8900
Northern Crown Mines Ltd.,Europe,Canada,Software engineering manager,155,82,258,109,2000,6800
Northern Offshore ASA,Europe,Norway,Software architect,610,84,271,188,1994,5600
Northern Rock plc,Europe,United Kingdom,Finance and accounting,755,76,272,82,2001,6200
Nortran Pharmaceuticals Inc.,Europe,Canada,Data analyst,620,94,231,108,2019,8300
Nova Chemicals Corp.,Europe,Canada,Systems analyst,450,74,244,134,2008,8700
Nova Gas Transmission Ltd.,Europe,Canada,Data scientist,400,75,298,119,2002,4400
Nova Measuring Instruments Ltd.,Europe,Israel,Applications Development & Maintenance,410,63,300,100,2003,1100
Novamerican Steel Inc.,Europe,Canada,Applications Development & Maintenance,360,63,267,137,1993,5300
Novartis AG,Europe,Switzerland,Business intelligence analyst,550,90,262,142,2003,1900
NovAtel Inc.,Europe,Canada,Software quality assurance,175,67,294,114,2020,2300
Novel Denim Holdings Ltd.,Europe,British Virgin Islands,Accounting and finance,70,76,299,196,2021,6600
Novogen Ltd.,Europe,Australia,Application developer,590,66,252,124,2004,4900
Novo-Nordisk A/S,Europe,Denmark,IT analyst,440,78,202,154,2006,3100
Nur Macroprinters Ltd.,Europe,Israel,Mobile developer,700,67,200,200,2007,2900
Nymox Pharmaceutical Corp.,Europe,Canada,Accounting and finance,530,94,277,90,1994,4400
O&Y Properties Corp.,Europe,Canada,System administrator,405,76,292,190,2001,4300
O2micro International Ltd.,Europe,Cayman Islands,software developer,105,75,277,129,1990,4700
Occidente y Caribe Celular S.A.,Europe,Colombia,Software quality assurance,470,78,274,184,2015,3800
Oce N.V.,Europe,Netherlands,Applications Development & Maintenance,210,62,213,124,2020,5300
Ocean Rig ASA,Europe,Norway,Program analyst,720,85,228,111,1998,3400
Officeland Inc.,Europe,Canada,Full stack developer,790,93,294,90,2009,2000
Olicom A/S,Europe,Denmark,Program analyst,155,84,250,71,1992,6400
Olympic Resources Ltd.,Europe,Canada,Data scientist,560,68,290,115,1991,1800
Omninet International Ltd.,Europe,Bermuda,UX designer,790,79,209,92,2007,6300
Oncolytics Biotech Inc.,Europe,Canada,Computer network architect,560,67,232,178,2018,4500
Open Joint Stock Company of Long Distance - Rostelecom,Europe,Russia,IT analyst,75,93,278,67,2017,3100
Open Text Co.,Europe,Canada,Network engineer,765,66,228,66,2018,4800
OpenTV Ltd.,Europe,British Virgin Islands,System administrator,685,60,247,95,2004,8400
Optibase Ltd.,Europe,Israel,Computer network architect,680,92,237,89,2021,4700
Optimal Robotics Corp.,Europe,Canada,System engineer,795,82,219,77,2014,7800
Orange plc,Europe,United Kingdom,Network engineer,795,76,220,74,1990,1900
Orbital Engine Corp Ltd.,Europe,Australia,System administrator,695,76,224,190,2018,3000
Orbotech Ltd.,Europe,Israel,IT analyst,585,91,273,96,2002,1200
Orchestream Holdings plc,Europe,United Kingdom,IT & Infrastructure,350,67,277,116,2004,8300
Orckit Communications Ltd.,Europe,Israel,Applications Development & Maintenance,275,64,247,189,2014,6700
Orient-Express Hotels Ltd.,Europe,Bermuda,Technical writer,785,88,252,140,1992,3500
Origin Energy Ltd.,Europe,Australia,Data scientist,785,87,266,111,2015,8100
Orix Corp.,Europe,Japan,software developer,485,88,208,94,2009,4600
Oromin Explorations Ltd.,Europe,Canada,UX designer,650,64,294,111,2005,4400
Orthofix International N.V.,Europe,Neth. Antilles,Business intelligence analyst,505,93,216,115,2018,7900
Oxford Glycosciences plc,Europe,United Kingdom,Mobile developer,240,68,271,102,1992,1100
P&O Princess Cruises plc,Europe,United Kingdom,IT analyst,390,67,300,83,1996,2900
P.T. Indah Kiat Pulp & Paper Corp Tbk,Europe,Indonesia,IT & Infrastructure,100,91,287,141,1992,6900
P.T. Indonesian Satellite Corp. Tbk,Europe,Indonesia,software developer,685,91,284,184,1991,2300
P.T. Pabrik Kertas Tjiwi Kimia Tbk,Europe,Indonesia,Full stack developer,135,79,227,150,2021,3000
P.T. Pasifik Satelit Nusantara Tbk,Europe,Indonesia,Product manager,180,74,260,184,1994,7900
P.T. Pindo Deli Pulp & Paper Mills,Europe,Indonesia,Java developer,145,84,209,156,1993,4000
P.T. Telekomunikasi Indonesia Tbk,Europe,Indonesia,Application analyst,240,71,234,86,1990,5200
P.T. Tri Polyta Indonesia Tbk,Europe,Indonesia,software developer,705,81,219,79,2016,2700
Pacific Century Cyberworks Ltd.,Europe,Hong Kong,Systems analyst,535,87,273,140,2014,3700
Pacific Dunlop Ltd.,Europe,Australia,Java developer,440,65,201,163,1992,7300
Pacific Internet Ltd.,Europe,Singapore,System engineer,655,84,293,163,2018,2700
Pacific North West Capital Corp.,Europe,Canada,Business intelligence analyst,205,75,238,120,2007,3800
Pacific Rim Mining Corp.,Europe,Canada,Market research,700,82,266,82,2014,3300
Pacifica Papers Inc.,Europe,Canada,software developer,705,66,251,97,2007,2000
Paladin Resources NL,Europe,Australia,Finance and accounting,365,84,299,126,1993,7300
Pan American Silver Co.,Europe,Canada,Computer programmer,380,86,220,189,2018,6900
PanCanadian Energy Ltd.,Europe,Canada,.Net developer,360,85,291,56,2018,7200
Paperboard Industries International Corp.,Europe,Canada,Technical writer,525,69,208,172,2005,2600
Paradigm Geophysical Ltd.,Europe,Israel,IT analyst,385,94,203,113,2018,5300
Parthus Technologies plc,Europe,Ireland,Program analyst,520,90,279,75,1993,7500
Partner Communications Co. Ltd.,Europe,Israel,Software engineering manager,285,93,251,101,1991,1700
PartnerRe Ltd.,Europe,Bermuda,Software engineering manager,715,86,232,125,1998,3300
Pcom AG,Europe,Germany,Program analyst,770,65,268,155,2014,4800
PDVSA Finance Ltd.,Europe,Cayman Islands,Java developer,370,90,297,66,2013,8800
Peace Arch Entertainment Group Inc.,Europe,Canada,Finance and accounting,160,62,220,102,2001,3700
Peaksoft Multinet Corp.,Europe,Canada,Finance and accounting,730,79,291,65,2021,3500
Pearson plc,Europe,United Kingdom,Product manager,475,74,252,101,2016,4400
Pechiney,Europe,France,Systems analyst,640,92,223,84,2014,8100
Pepsi-Gemex S.A. de C.V.,Europe,Mexico,IT analyst,290,81,261,152,1993,4200
Perdigao S.A.,Europe,Brazil,Finance and accounting,790,88,248,134,1990,4700
Perez Companc S.A.,Europe,Argentina,Product manager,560,87,251,187,2021,5500
Perle Systems Ltd.,Europe,Canada,Data scientist,70,77,264,137,2002,4900
Peruvian Gold Ltd.,Europe,Canada,Business intelligence analyst,370,67,276,160,2007,5800
Petro-Canada,Europe,Canada,Computer network architect,135,88,265,104,1996,4800
PetroChina Co. Ltd.,Europe,China,Web developer,195,63,215,188,2010,4600
Petroleo Brasileiro S.A. - Petrobras,Europe,Brazil,IT coordinator,620,65,271,155,1993,7000
Petroleos de Venezuela,Europe,Venezuela,Computer programmer,455,89,229,74,1990,1600
Petroleos Mexicanos (Pemex),Europe,Mexico,Software quality assurance,550,77,203,116,1998,3800
Petroleum Geo-Services A/S,Europe,Norway,Business intelligence analyst,180,91,251,82,2019,1100
Petromin Resources Ltd.,Europe,Canada,Software architect,470,65,292,160,2010,1600
Petsec Energy Ltd.,Europe,Australia,Software engineering manager,755,73,205,86,2016,4400
Pfeiffer Vacuum Technology AG,Europe,Germany,Product manager,410,60,231,75,2008,4400
Philippine Long Distance Telephone Co.,Europe,Philippines,software developer,460,88,232,188,1999,4500
Philips Electronics N.V.,Europe,Netherlands,Applications Development & Maintenance,160,87,244,82,2006,4300
Photochannel Networks Inc.,Europe,Canada,Computer network architect,400,77,258,74,1995,6600
Pioneer Corp.,Europe,Japan,Technical writer,500,88,242,54,1994,5300
Pivotal Corp.,Europe,Canada,Market research,555,82,283,73,2020,4100
PKI Solutions Inc.,Europe,Bahamas,Product manager,560,90,265,116,1998,2700
Placer Dome Inc.,Europe,Canada,Network engineer,365,74,285,96,2007,5100
Plaintree Systems Ltd.,Europe,Canada,IT & Infrastructure,230,91,222,62,2002,7400
Playstar Corp.,Europe,Antigua,Application analyst,360,76,235,75,1997,7800
PLC Systems Inc.,Europe,Canada,Computer network architect,195,65,283,181,2001,2500
Pohang Iron & Steel Co. Ltd.,Europe,Korea,Full stack developer,430,73,240,152,1999,2000
Polska Telefonia Cyfrowa Sp Z o o.,Europe,Poland,System administrator,205,85,211,151,2002,7000
Polyair Inter Pack Inc.,Europe,Canada,Full stack developer,120,61,292,103,2000,5000
Polymet Mining Corp.,Europe,Canada,Web developer,275,73,265,71,1998,7300
Portal Net Ltd.,Europe,British Virgin Islands,Computer programmer,505,61,231,90,2011,4700
Portrush Petroleum Corp.,Europe,Canada,Systems analyst,280,76,221,54,2013,5900
"Portugal Telecom, SGPS, S.A.",Europe,Portugal,Finance and accounting,585,68,294,51,2013,7200
Potash Corp. of Saskatchewan,Europe,Canada,IT analyst,715,64,228,181,2003,1700
PowerGen plc,Europe,United Kingdom,UX designer,475,66,285,55,2008,1300
Precision Drilling Corp.,Europe,Canada,Product manager,685,61,286,65,2009,4100
Preem Holdings AB,Europe,Sweden,Software quality assurance,180,89,249,154,2000,5900
Premier Farnell plc,Europe,United Kingdom,UX designer,300,84,299,77,2010,8700
Premier International Foods plc,Europe,United Kingdom,Accounting and finance,615,91,220,84,2019,5700
PrimaCom AG,Europe,Germany,Software engineering manager,580,82,246,161,1990,4300
Princeton Media Group Inc.,Europe,Canada,Computer programmer,620,87,269,188,2019,3500
Professional Staff plc,Europe,United Kingdom,UX designer,205,69,281,177,1992,4700
Progen Industries Ltd.,Europe,Australia,Computer programmer,680,60,289,200,2007,6300
Pro-Market Global plc,Europe,United Kingdom,Application analyst,750,77,239,120,1990,5000
Protherics plc,Europe,United Kingdom,Applications Development & Maintenance,245,81,293,165,2012,2600
Provalis plc,Europe,United Kingdom,Accounting and finance,430,80,213,60,1994,6900
Provida Pension Fund Administrator,Europe,Chile,IT analyst,565,61,232,173,1996,6600
Provident Energy Trust,Europe,Canada,IT & Infrastructure,145,62,289,139,2011,3100
Prudential plc,Europe,United Kingdom,Software quality assurance,755,78,203,100,1997,5600
"PSi Technologies Holdings, Inc.",Europe,Philippines,Application developer,305,77,277,84,2017,1000
Publicis Groupe S.A.,Europe,France,IT & Infrastructure,255,79,263,91,1994,5100
